folio,fecha_creacion,hora_creacion,dia_semana,fecha_cierre,hora_cierre,tipo_incidente_c4,incidente_c4,alcaldia_inicio,codigo_cierre,clas_con_f_alarma,tipo_entrada,alcaldia_cierre,alcaldia_catalogo,colonia_catalogo,longitud,latitud
C5/20220728/04494,28/07/22,22:39:57,Jueves,29/07/22,1:47:11,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Nueva Atzacoalco,-99.086329,19.501225
C5/20220729/01129,29/07/22,8:58:49,Viernes,29/07/22,12:07:11,Accidente,Ciclista,BENITO JUAREZ,F,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Ciudad De Los Deportes,-99.183028,19.385173
C5/20220729/01194,29/07/22,9:24:31,Viernes,29/07/22,12:27:13,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Escandon I Seccion,-99.17983067,19.40067444
C5/20220729/01458,29/07/22,11:02:22,Viernes,29/07/22,14:07:12,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Pensil Sur,-99.19803,19.4467
C5/20220729/01488,29/07/22,11:12:58,Viernes,29/07/22,14:17:13,Accidente,Ciclista,MIGUEL HIDALGO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Popo,-99.198288,19.445881
C5/20220729/01930,29/07/22,12:59:30,Viernes,29/07/22,16:07:14,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Pueblo San Juanico Nextipac,-99.119847,19.3741542
C5/20220729/02834,29/07/22,16:13:57,Viernes,29/07/22,19:17:16,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.153921,19.425591
C5/20220729/03062,29/07/22,17:00:13,Viernes,29/07/22,20:07:15,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztacalco,El Triunfo,-99.122534,19.3757
C5/20220729/03643,29/07/22,19:10:32,Viernes,29/07/22,22:17:14,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Condesa,-99.176253,19.419572
C5/20220729/03771,29/07/22,19:36:20,Viernes,29/07/22,22:37:18,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.176029,19.4196895
C5/20220729/04201,29/07/22,21:04:27,Viernes,30/07/22,0:39:25,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,La Pastora,-99.137106,19.531063
C5/20220730/01823,30/07/22,7:34:02,Sábado,30/07/22,10:43:24,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Pueblo Santa Cruz Xochitepec,-99.12522,19.25788
C5/20220730/01840,30/07/22,7:38:16,Sábado,30/07/22,10:43:25,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,RADIO,GUSTAVO A. MADERO,Gustavo A. Madero,Chalma De Guadalupe,-99.152895,19.545797
C5/20220730/02133,30/07/22,9:44:09,Sábado,30/07/22,12:53:25,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Miguel Hidalgo,San Lorenzo Tlatenango,-99.20083523,19.47323448
C5/20220730/02227,30/07/22,10:11:25,Sábado,30/07/22,13:23:26,Accidente,Ciclista,CUAJIMALPA DE MORELOS,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Contadero,-99.30526,19.34695
C5/20220730/02271,30/07/22,10:26:17,Sábado,30/07/22,13:33:27,Accidente,Ciclista,LA MAGDALENA CONTRERAS,A,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Pueblo La Magdalena,-99.250094,19.300105
C5/20220730/02531,30/07/22,11:37:47,Sábado,30/07/22,14:43:28,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,RADIO,AZCAPOTZALCO,Azcapotzalco,Jardin Azpeitia,-99.17354585,19.47456438
C5/20220730/02687,30/07/22,12:10:15,Sábado,30/07/22,15:13:29,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Villa De Aragon,-99.05672622,19.46272629
C5/20220730/03611,30/07/22,15:37:41,Sábado,30/07/22,18:43:31,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,RADIO,GUSTAVO A. MADERO,Gustavo A. Madero,Martin Carrera,-99.10945823,19.48806093
C5/20220730/03860,30/07/22,16:30:38,Sábado,30/07/22,19:33:32,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Guadalupita,-99.01474,19.255027
C5/20220730/03885,30/07/22,16:36:23,Sábado,30/07/22,19:43:30,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio El Rosario,-99.10317073,19.26417663
C5/20220730/04481,30/07/22,18:45:01,Sábado,30/07/22,21:53:29,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Centro,-99.13426896,19.42604904
C5/20220730/04521,30/07/22,18:48:39,Sábado,30/07/22,21:53:33,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,RADIO,IZTAPALAPA,Iztapalapa,San Juan Xalpa,-99.074805,19.335476
C5/20220730/06135,30/07/22,23:11:20,Sábado,31/07/22,2:13:31,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.166129,19.413295
C5/20220731/01255,31/07/22,2:59:21,Domingo,31/07/22,6:03:31,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Pueblo Chimalcoyotl,-99.166045,19.275936
C5/20220731/02841,31/07/22,10:38:03,Domingo,31/07/22,13:43:33,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Ex-Hacienda El Rosario,-99.208668,19.5001294
C5/20220731/03624,31/07/22,14:01:35,Domingo,31/07/22,17:53:33,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Campestre Churubusco,-99.133908,19.340631
C5/20220731/03738,31/07/22,14:26:26,Domingo,31/07/22,17:33:34,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,RADIO,BENITO JUAREZ,Benito Juárez,Napoles,-99.17215104,19.39510215
C5/20220731/04066,31/07/22,15:41:06,Domingo,31/07/22,18:43:34,Accidente,Ciclista,LA MAGDALENA CONTRERAS,F,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Pueblo La Magdalena,-99.250094,19.300105
C5/20220731/04162,31/07/22,16:01:26,Domingo,31/07/22,19:03:34,Accidente,Ciclista,LA MAGDALENA CONTRERAS,F,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,NA,-99.255441,19.297467
C5/20220731/04972,31/07/22,19:09:15,Domingo,31/07/22,22:13:33,Accidente,Ciclista,TLAHUAC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Iztapalapa,Las Arboledas,-99.045269,19.313377
C5/20220731/05461,31/07/22,20:46:58,Domingo,31/07/22,23:53:33,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Centro,-99.133461,19.438166
C2C/20220801/00118,01/08/22,18:32:43,Lunes,01/08/22,21:43:33,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,CUAUHTEMOC,Cuauhtémoc,Centro,-99.13261,19.42925
C2C/20220801/00146,01/08/22,20:39:28,Lunes,01/08/22,23:43:33,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,CUAUHTEMOC,Cuauhtémoc,Centro,-99.14215,19.43214
C5/20220801/01899,01/08/22,12:25:46,Lunes,01/08/22,15:33:32,Accidente,Ciclista,IZTAPALAPA,D,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Leyes De Reforma 3a Seccion,-99.0732235,19.3781249
C5/20220801/02461,01/08/22,14:52:01,Lunes,01/08/22,17:53:37,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Nueva Atzacoalco,-99.087966,19.492412
C5/20220802/00964,02/08/22,8:56:46,Martes,02/08/22,12:03:33,Accidente,Ciclista,IZTACALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,Iztacalco,Agricola Oriental,-99.074314,19.387698
C5/20220801/04550,01/08/22,23:29:04,Lunes,02/08/22,2:33:33,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Santiago Acahualtepec 2a Ampliacion,-99.014722,19.351479
C5/20220802/01685,02/08/22,12:58:16,Martes,02/08/22,16:03:36,Accidente,Ciclista,TLAHUAC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Tláhuac,Guadalupe Tlaltenco,-99.014266,19.29387
C5/20220803/01322,03/08/22,11:03:01,Miércoles,03/08/22,14:13:38,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Doctores,-99.152802,19.415776
C5/20220803/00904,03/08/22,8:51:05,Miércoles,03/08/22,11:53:39,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Polanco V Seccion,-99.1881327,19.4314554
C5/20220803/00789,03/08/22,7:50:33,Miércoles,03/08/22,10:53:38,Accidente,Ciclista,AZCAPOTZALCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Las Salinas,-99.168844,19.490856
C5/20220803/02163,03/08/22,14:33:51,Miércoles,03/08/22,17:43:41,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Lomas Estrella,-99.097334,19.322431
C5/20220803/02255,03/08/22,14:48:01,Miércoles,03/08/22,18:13:40,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,RADIO,IZTAPALAPA,Iztapalapa,Lomas Estrella,-99.092001,19.321539
C5/20220803/03056,03/08/22,17:52:14,Miércoles,03/08/22,20:53:43,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Pueblo San Miguel Topilejo,-99.145862,19.199062
C5/20220803/03047,03/08/22,17:50:30,Miércoles,03/08/22,20:53:42,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Pueblo San Miguel Topilejo,-99.13775,19.20452
C5/20220803/02740,03/08/22,16:33:15,Miércoles,03/08/22,19:33:45,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Ampliacion San Juan De Aragon,-99.10847255,19.47931425
C5/20220803/00669,03/08/22,6:37:53,Miércoles,03/08/22,9:43:37,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Pueblo Santo Domingo,-99.191693,19.487301
C5/20220803/01694,03/08/22,12:42:10,Miércoles,03/08/22,15:43:41,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,San Juan Estrella,-99.06901148,19.32705583
C5/20220804/02988,04/08/22,15:44:45,Jueves,04/08/22,18:53:44,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Valle Escondido,-99.14157442,19.2783543
C5/20220804/03004,04/08/22,15:48:12,Jueves,04/08/22,18:53:45,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Arenal Tepepan,-99.141237,19.281203
C5/20220804/02368,04/08/22,13:26:17,Jueves,04/08/22,16:33:45,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Adolfo Ruiz Cortinez,-99.14809195,19.31874435
C5/20220804/02983,04/08/22,15:43:30,Jueves,04/08/22,18:53:43,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Valle Escondido,-99.14162643,19.27754552
C5/20220804/01100,04/08/22,7:33:04,Jueves,04/08/22,12:07:43,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Hipodromo,-99.171814,19.40623
C5/20220804/01263,04/08/22,8:31:13,Jueves,04/08/22,13:23:41,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Cuauhtémoc,Zona Centro,-99.12504927,19.42916252
C5/20220804/02935,04/08/22,15:32:42,Jueves,04/08/22,18:43:42,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Pueblo Santa Maria Tepepan,-99.141452,19.279067
C5/20220804/02940,04/08/22,15:32:57,Jueves,04/08/22,18:43:42,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Valle Escondido,-99.141538,19.277958
C5/20220805/01293,05/08/22,9:46:12,Viernes,05/08/22,13:03:44,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Centro,-99.13942878,19.43960688
C5/20220805/00868,05/08/22,6:27:46,Viernes,05/08/22,9:33:45,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Copilco El Alto,-99.175708,19.330967
C5/20220805/00663,05/08/22,4:11:26,Viernes,05/08/22,7:23:44,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,San Simon Tolnahuac,-99.144179,19.461279
C5/20220804/04139,04/08/22,20:24:22,Jueves,05/08/22,0:10:32,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Venustiano Carranza,Lorenzo Boturini,-99.123767,19.417139
C5/20220804/04337,04/08/22,21:15:10,Jueves,05/08/22,0:23:43,Accidente,Ciclista,VENUSTIANO CARRANZA,D,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Venustiano Carranza,Lorenzo Boturini,-99.124052,19.417086
C5/20220804/04378,04/08/22,21:22:00,Jueves,05/08/22,0:23:46,Accidente,Ciclista,VENUSTIANO CARRANZA,D,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Venustiano Carranza,Lorenzo Boturini,-99.12362,19.417041
C5/20220805/03721,05/08/22,19:25:25,Viernes,05/08/22,22:33:47,Accidente,Ciclista,COYOACAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Nueva Diaz Ordaz,-99.143346,19.324578
C5/20220805/03775,05/08/22,19:34:21,Viernes,05/08/22,22:43:48,Accidente,Ciclista,COYOACAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Nueva Diaz Ordaz,-99.1433455,19.3245708
C5/20220805/03804,05/08/22,19:40:29,Viernes,05/08/22,22:43:52,Accidente,Ciclista,COYOACAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Nueva Diaz Ordaz,-99.143346,19.324578
C5/20220805/02783,05/08/22,16:05:58,Viernes,05/08/22,19:13:47,Accidente,Ciclista,COYOACAN,F,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,El Rosedal,-99.147219,19.33695
C5/20220805/01606,05/08/22,11:15:36,Viernes,05/08/22,14:23:45,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,El Rosario,-99.208772,19.509676
C5/20220805/02624,05/08/22,15:29:01,Viernes,05/08/22,18:33:48,Accidente,Ciclista,IZTACALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,Iztacalco,Barrio Santiago Sur,-99.129025,19.390768
C5/20220805/01917,05/08/22,12:38:45,Viernes,05/08/22,15:43:48,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Juarez,-99.15310605,19.43369352
C5/20220806/03373,06/08/22,14:39:25,Sábado,06/08/22,17:43:53,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Narvarte Poniente,-99.1557309,19.4004371
C5/20220806/02556,06/08/22,11:32:54,Sábado,06/08/22,14:43:49,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Lomas De Chapultepec Vii Seccion,-99.222546,19.409602
C5/20220806/02194,06/08/22,9:31:58,Sábado,06/08/22,12:43:50,Accidente,Ciclista,ALVARO OBREGON,A,URGENCIAS MEDICAS,RADIO,ALVARO OBREGON,Álvaro Obregón,Santa Fe La Loma,-99.2482043,19.37829853
C5/20220806/03468,06/08/22,14:59:06,Sábado,06/08/22,18:03:53,Accidente,Ciclista,ALVARO OBREGON,F,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Chimalistac,-99.187503,19.34739
C5/20220806/03156,06/08/22,13:55:58,Sábado,06/08/22,17:03:51,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Guerrero,-99.147417,19.445281
C5/20220806/02851,06/08/22,12:50:00,Sábado,06/08/22,15:53:51,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Reynosa Tamaulipas,-99.18657,19.49255
C5/20220806/04136,06/08/22,17:13:43,Sábado,06/08/22,20:23:49,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Guerrero,-99.13732,19.44904
C5/20220806/04348,06/08/22,17:58:08,Sábado,06/08/22,21:03:51,Accidente,Ciclista,CUAUHTEMOC,D,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Tabacalera,-99.15119422,19.43816198
C5/20220806/05128,06/08/22,20:28:22,Sábado,06/08/22,23:33:51,Accidente,Ciclista,GUSTAVO A. MADERO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,San Jose Ticoman,-99.129791,19.50582
C5/20220806/05858,06/08/22,22:26:11,Sábado,07/08/22,1:33:51,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Pueblo Santa Catarina,-99.179017,19.492017
C5/20220806/05356,06/08/22,21:07:42,Sábado,07/08/22,0:13:54,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,El Rosario,-99.20613515,19.50422232
C5/20220806/05544,06/08/22,21:41:23,Sábado,07/08/22,0:43:54,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Venustiano Carranza,Moctezuma 2a. Seccion,-99.097476,19.425932
C5/20220806/05889,06/08/22,22:30:56,Sábado,07/08/22,1:33:53,Accidente,Ciclista,AZCAPOTZALCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Pueblo Santa Catarina,-99.177814,19.491635
C5/20220806/05950,06/08/22,22:40:01,Sábado,07/08/22,1:43:54,Accidente,Ciclista,AZCAPOTZALCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Pueblo Santa Catarina,-99.179017,19.492017
C5/20220807/02917,07/08/22,10:10:57,Domingo,07/08/22,13:13:52,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Miguel Hidalgo,Escandon Ii Seccion,-99.170436,19.39979
C5/20220807/03176,07/08/22,11:38:08,Domingo,07/08/22,14:43:50,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Narvarte Poniente,-99.1607949,19.3962114
C5/20220807/02763,07/08/22,9:09:43,Domingo,07/08/22,12:13:51,Accidente,Ciclista,TLAHUAC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Tláhuac,Barrio San Mateo,-99.001616,19.270209
C5/20220807/02816,07/08/22,9:31:14,Domingo,07/08/22,12:33:51,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Ciudad Universitaria,-99.175052,19.323334
C5/20220807/03536,07/08/22,13:37:46,Domingo,07/08/22,16:43:51,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Guerrero,-99.146163,19.450827
C5/20220807/06428,07/08/22,23:09:49,Domingo,08/08/22,2:13:53,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Iztapalapa,El Vergel,-99.08752789,19.30488638
C5/20220808/00876,08/08/22,6:27:02,Lunes,08/08/22,9:33:53,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Consejo Agrarista Mexicano,-99.056507,19.320685
C5/20220808/02640,08/08/22,15:24:12,Lunes,08/08/22,18:33:54,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.166129,19.413295
C5/20220808/02100,08/08/22,13:16:56,Lunes,08/08/22,16:23:55,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Buenavista,-99.146853,19.448023
C5/20220808/04174,08/08/22,22:09:54,Lunes,09/08/22,1:13:55,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Iztapalapa,Valle De San Lorenzo,-99.08316075,19.29965289
C5/20220809/03138,09/08/22,19:35:48,Martes,09/08/22,22:43:58,Accidente,Ciclista,LA MAGDALENA CONTRERAS,A,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Las Cruces,-99.254915,19.318702
C5/20220809/00518,09/08/22,6:56:08,Martes,09/08/22,10:03:54,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Doctores,-99.15436603,19.41642165
C5/20220808/04236,08/08/22,22:27:45,Lunes,09/08/22,1:33:53,Accidente,Ciclista,COYOACAN,F,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Pedregal De Santo Domingo,-99.17014,19.32163
C5/20220809/01116,09/08/22,10:59:58,Martes,09/08/22,15:17:09,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Del Valle Sur,-99.173245,19.369737
C5/20220809/02565,09/08/22,17:13:34,Martes,09/08/22,20:23:57,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Tacuba,-99.18499,19.45959
C5/20220809/02530,09/08/22,17:03:11,Martes,09/08/22,21:23:57,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Barrio San Pedro,-99.08322,19.37063
C5/20220809/03156,09/08/22,19:41:03,Martes,09/08/22,22:44:00,Accidente,Ciclista,LA MAGDALENA CONTRERAS,D,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Las Cruces,-99.2548915,19.31870556
C5/20220809/01761,09/08/22,13:56:15,Martes,09/08/22,17:13:56,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,San Alvaro,-99.1815072,19.4602421
C5/20220810/03303,10/08/22,20:21:38,Miércoles,10/08/22,23:54:01,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Coyoacán,Cacama,-99.127708,19.358284
C5/20220810/00876,10/08/22,9:23:40,Miércoles,10/08/22,17:03:57,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Tlalpan Centro,-99.17557,19.283833
C5/20220810/01325,10/08/22,12:02:13,Miércoles,10/08/22,15:04:01,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Aragon Inguaran,-99.10308559,19.46707883
